Tipo,Producto,Cobertura,Pagos,Edad1,Edad2, SAF ,Crecimiento,SAD,PNU,PA
Ultimo Superviviente,Dotal Mixto,41,39,24,21,2231235.00,NA,2231235,286292.36,15894.26
Ultimo Superviviente,Dotal Mixto,35,0,25,33,2130594.00,NA,2130594,247832.88,66563.69
Ultimo Superviviente,Temporal,15,15,27,30,1749432.83,Variable,0,16.12,1.14
Individual,Ordinario de Vida,83,2,26,2,1093342.80,Fijo,0,216734.39,58259.46
Ultimo Superviviente,Temporal,22,8,27,33,2704848.00,NA,0,39.86,4.28
Vida Conjunta,Ordinario de Vida,77,0,30,31,1305139.00,NA,0,131646.74,35421.10
Individual,Dotal Mixto,46,21,13,2,2696495.00,NA,2696495,281988.01,19999.26
Individual,Temporal,16,9,34,8,1234345.00,NA,0,15192.71,1289.63
Ultimo Superviviente,Temporal,44,27,13,10,2305226.00,NA,0,27.86,1.81
Vida Conjunta,Dotal Mixto,14,0,28,27,1686760.00,NA,1686760,677354.20,677354.20
Vida Conjunta,Temporal,36,23,15,16,591559.50,Fijo,0,24122.94,1681.68
Ultimo Superviviente,Temporal,49,25,16,15,2583349.65,Variable,0,462.35,30.63
Vida Conjunta,Dotal Mixto,24,3,37,35,2316381.00,NA,2316381,658995.54,124118.57
Vida Conjunta,Dotal Mixto,11,3,54,51,1275588.80,Variable,2077799.737,906537.14,123019.94
Vida Conjunta,Dotal Mixto,19,7,17,23,1873535.58,Variable,4508886.762,1618430.48,217693.20
Individual,Dotal Mixto,27,12,29,6,1465280.00,NA,1465280,303689.77,24857.79
Ultimo Superviviente,Dotal Mixto,8,7,33,30,745923.00,Fijo,919971.7,382210.40,32288.25
Vida Conjunta,Dotal Mixto,37,0,26,26,1986603.00,NA,1986603,259730.23,90921.57
Ultimo Superviviente,Temporal,37,23,24,26,329867.00,NA,0,7.69,0.46
Ultimo Superviviente,Dotal Mixto,45,17,15,19,884602.00,NA,884602,76844.68,5560.10
Vida Conjunta,Dotal Mixto,21,15,38,42,2642439.40,Variable,7011178.405,1703340.00,122440.58
Ultimo Superviviente,Dotal Mixto,26,16,37,38,1267703.53,Variable,4292894.12,775383.33,52402.01
Ultimo Superviviente,Dotal Mixto,17,0,40,37,712149.00,NA,712149,243236.52,53506.39
Vida Conjunta,Temporal,16,5,36,41,2293876.20,Variable,0,104123.45,19628.52
Vida Conjunta,Temporal,27,18,14,17,2273163.00,NA,0,41735.21,3426.30
Vida Conjunta,Dotal Mixto,23,0,36,35,135730.40,Fijo,250579.2,62278.75,62278.75
Vida Conjunta,Dotal Mixto,8,8,51,56,2111705.00,NA,2111705,995621.75,89703.99
Individual,Ordinario de Vida,83,5,26,3,634753.57,Variable,0,522213.33,77095.86
